City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Beringovskiy,RU,63.05,179.3167,34.25,62,14,7.18,few clouds
80,Yellowknife,CA,62.456,-114.3525,45.12,61,20,8.05,few clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,92.61,67,0,3.0,clear sky
82,Avigliana,IT,45.0771,7.3986,60.62,72,99,6.29,overcast clouds
83,Leningradskiy,RU,69.3833,178.4167,19.69,77,54,7.56,broken clouds
84,Botwood,CA,49.1499,-55.3482,60.91,85,99,1.68,overcast clouds
85,Kodiak,US,57.79,-152.4072,51.31,76,100,9.22,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,81.66,74,100,10.96,overcast clouds
87,Narsaq,GL,60.9167,-46.05,43.7,82,98,1.19,overcast clouds
88,Tuatapere,NZ,-46.1333,167.6833,39.72,83,94,1.32,overcast clouds
89,Vostok,RU,46.4856,135.8833,48.02,93,7,5.44,clear sky
90,Gwadar,PK,25.1216,62.3254,78.58,76,0,5.26,clear sky
91,Kieta,PG,-6.2167,155.6333,77.13,77,30,5.91,scattered clouds
92,Kushmurun,KZ,52.4503,64.6311,33.64,43,47,7.0,scattered clouds
93,Port Hardy,CA,50.6996,-127.4199,55.58,100,100,5.75,mist
94,Hammerfest,NO,70.6634,23.6821,46.85,66,0,8.05,clear sky
95,Seda,LV,57.65,25.75,46.06,97,76,2.82,broken clouds
96,Goure,NE,13.9835,10.2704,89.94,38,83,7.38,broken clouds
97,Lagoa,PT,39.05,-27.9833,67.35,63,5,4.85,clear sky
98,Hervey Bay,AU,-25.2986,152.8535,55.02,81,0,8.1,clear sky
99,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,0,5.75,clear sky
100,Hasaki,JP,35.7333,140.8333,68.4,64,100,10.18,overcast clouds
101,Sao Lourenco Da Mata,BR,-8.0022,-35.0183,80.04,69,20,10.36,few clouds
102,Velyka Pysarivka,UA,50.4259,35.485,56.05,84,65,7.07,broken clouds
103,Ileza,RU,61.0533,43.9002,33.19,98,100,8.03,light snow
104,Cartagena Del Chaira,CO,1.3349,-74.8429,87.42,56,98,1.19,overcast clouds
105,Murgab,TM,37.4966,61.9714,71.47,43,2,9.22,clear sky
106,Norman Wells,CA,65.282,-126.8329,46.44,61,20,14.97,few clouds
107,Matagami,CA,49.7502,-77.6328,59.11,44,40,10.36,scattered clouds
108,Yulara,AU,-25.2406,130.9889,63.66,26,100,12.53,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,80.91,78,100,8.86,overcast clouds
110,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,8.05,broken clouds
111,Alta Floresta,BR,-9.8756,-56.0861,94.82,46,40,5.75,scattered clouds
112,Christchurch,NZ,-43.5333,172.6333,44.91,72,100,11.5,overcast clouds
113,Petrozavodsk,RU,61.7849,34.3469,38.66,100,100,4.47,overcast clouds
114,Mondeville,FR,49.175,-0.3224,52.75,87,20,5.75,few clouds
115,Carate Brianza,IT,45.6737,9.2359,59.94,90,83,1.99,moderate rain
116,Provideniya,RU,64.3833,-173.3,35.69,71,3,8.19,clear sky
117,Iracoubo,GF,5.4802,-53.2011,82.02,79,28,13.44,scattered clouds
118,Nova Granada,BR,-20.5339,-49.3142,80.85,46,50,6.24,scattered clouds
119,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,72.43,53,100,1.83,overcast clouds
120,Alofi,NU,-19.0595,-169.9187,75.09,64,3,12.66,clear sky
121,Udachnyy,RU,66.4167,112.4,19.49,95,100,8.03,overcast clouds
122,Ntoum,GA,0.3833,9.7833,74.7,87,26,3.91,scattered clouds
123,Preobrazheniye,RU,42.9019,133.9064,58.5,84,3,4.76,clear sky
124,El Prat De Llobregat,ES,41.3278,2.0947,67.14,81,75,19.57,broken clouds
125,Qaanaaq,GL,77.484,-69.3632,14.5,82,65,6.44,broken clouds
126,Caldas Novas,BR,-17.7417,-48.625,85.96,41,100,8.21,overcast clouds
127,Xining,CN,36.6167,101.7667,53.31,50,100,1.86,overcast clouds
128,Pontes E Lacerda,BR,-15.2261,-59.3353,69.58,85,100,2.82,overcast clouds
129,Nikolskoye,RU,59.7035,30.7861,46.29,96,100,5.59,overcast clouds
130,Auki,SB,-8.7676,160.7034,77.9,83,14,3.13,few clouds
131,Kapaa,US,22.0752,-159.319,82.47,71,75,9.22,broken clouds
132,Mount Gambier,AU,-37.8333,140.7667,46.31,93,100,4.61,fog
133,Hoi An,VN,15.8794,108.335,78.76,88,100,5.41,overcast clouds
134,Port Alfred,ZA,-33.5906,26.891,61.18,95,100,18.05,overcast clouds
135,Ilulissat,GL,69.2167,-51.1,32.02,72,100,3.33,overcast clouds
136,Araouane,ML,18.9048,-3.5265,101.26,14,7,8.5,clear sky
137,Selfoss,IS,63.9331,-20.9971,47.05,92,100,7.7,overcast clouds
138,Haines Junction,CA,60.7522,-137.5108,55.35,58,100,6.91,overcast clouds
139,Dingle,PH,10.9995,122.6711,75.07,94,100,4.83,overcast clouds
140,Pevek,RU,69.7008,170.3133,26.64,65,0,4.27,clear sky
141,Dali,CN,25.7,100.1833,58.1,92,22,2.73,few clouds
142,Pemangkat,ID,1.1667,108.9667,77.7,85,100,3.8,overcast clouds
143,Buchanan,LR,5.8808,-10.0467,74.88,90,100,2.44,overcast clouds
144,Hobart,AU,-42.8794,147.3294,39.06,94,75,8.05,broken clouds
145,Vaitape,PF,-16.5167,-151.75,78.53,72,15,18.57,few clouds
146,Tiksi,RU,71.6872,128.8694,19.08,93,100,5.3,overcast clouds
147,San Pedro Del Parana,PY,-26.8333,-56.2,59.4,97,100,4.41,overcast clouds
148,Constitucion,CL,-35.3333,-72.4167,58.24,76,66,5.03,broken clouds
149,Pacific Grove,US,36.6177,-121.9166,77.38,78,0,11.01,clear sky
150,Sinfra,CI,6.6167,-5.9167,71.69,99,100,2.37,overcast clouds
151,Komsomolskiy,UZ,40.4272,71.7189,65.12,45,100,2.3,overcast clouds
152,Aksu,CN,41.1231,80.2644,66.38,27,100,4.43,overcast clouds
153,Alice Springs,AU,-23.7,133.8833,54.95,49,91,4.61,overcast clouds
154,Aranos,NA,-24.1333,19.1167,76.8,21,64,11.83,broken clouds
155,Busdi,PH,8.2761,125.2514,68.11,98,100,1.34,overcast clouds
156,New Norfolk,AU,-42.7826,147.0587,38.71,82,42,2.19,scattered clouds
157,Khoy,IR,38.5504,44.9535,69.76,18,0,4.07,clear sky
158,Kumeny,RU,58.1089,49.9161,36.34,98,100,10.67,overcast clouds
159,Changji,CN,44.0167,87.3167,52.59,82,40,11.18,scattered clouds
